id,code,name,profit_centre,doc_code,branch_type,ahm_code,street,rt,rw,kelurahan,kecamatan,city_id:id,state_id:id,zip_code_id:id,phone,mobile,fax,email,npwp,no_pkp,tgl_kukuh
branch_dld,DLD,Cabang Tulang Bawang Barat,15587,DLD,DL,TA,Pulung Kencana Tulang Bawang Tengah Tulang Bawang Barat,,,,,,wtc_address.province_id_1800,,6281996938922,,,,01.239.424.3-236.010,01.239.424.3-236.010,1989-04-26
branch_dlf,DLF,Cabang Trimurjo,15588,DLF,DL,TA154,Jl. Raya Simbarwaringin RT 11/ RW 04 Trimurjo-Lampung Tengah,,,,,,wtc_address.province_id_1800,,,,,,01.239.424.3.321.005,01.239.424.3.321.005,2013-02-06
branch_dlv,DLV,Cabang Purbolinggo,15600,DLV,DL,TA,JL. MERDEKA NO.1 RT/RW 001/001 ,,,,,,wtc_address.province_id_1800,,,,,,,,
branch_dlq,DLQ,Cabang Tirtayasa,15601,DLQ,DL,TA,Jl. P. Antasari No.22c Rt10 Sukabumi ,,,,,,wtc_address.province_id_1800,,,,,,,,
branch_dlc,DLC,Cabang Rawajitu,15568,DLC,DL,TA,RAWAJITU ,,,,,,wtc_address.province_id_1800,,6287888818467,,,,01.239.424.3-326.009,01.239.424.3-326.009,1989-04-26
branch_dly,DLY,Cabang Yos Sudarso,15504,DLY,DL,2766,Jl. Yos Sudarso No. 48 Telukbetung ,,,,,,wtc_address.province_id_1800,,6281933551202,,,,01.239.424.3-324.001,01.239.424.3-324.001,1989-04-26
branch_dlw,DLW,Cabang Way Kanan,15540,DLW,DL,8704,Jl. Lintas Sumatra Tiuh Balak Pasar Baradatu Way Kanan,,,,,,wtc_address.province_id_1800,,6281977903033,,,,01.239.424.3-326.006,01.239.424.3-326.006,1989-04-26
branch_dlu,DLU,Cabang Kota Bumi,15526,DLU,DL,8704,Jl.Raden Intan No. 9 C-D Tanah Miring Kotabumi Selatan,,,,,,wtc_address.province_id_1800,,6281996921299,,,,01.239.424.3-326.003,01.239.424.3-326.003,1989-04-26
branch_dlt,DLT,Cabang Tulang Bawang,15529,DLT,DL,11092,Jl.Raya Lintas Timur RT.004 RW.004 Banjar Agung,,,,,,wtc_address.province_id_1800,,6281996938922,,,,01.239.424.3-326.005,01.239.424.3-326.005,1989-04-26
branch_dls,DLS,Cabang Sidomulyo,15510,DLS,DL,7011,Jl. Raya Sidodadi No.25-27 Sidomulyo Lampung Selatan,,,,,,wtc_address.province_id_1800,,6281977973169,,,,01.239.424.3-325.003,01.239.424.3-325.003,1989-04-26
branch_dlo,DLO,Cabang Kota Gajah,15511,DLO,DL,7131,Jl.A.Yani No.1 Kota Gajah Lampung Tengah,,,,,,wtc_address.province_id_1800,,6281997355828,,,,01.239.424.3-321.001,01.239.424.3-321.001,1989-04-26
branch_dln,DLN,Cabang Kota Agung,15547,DLN,DL,12028,Jl.Merdeka No.596 Pasar Madang ,,,,,,wtc_address.province_id_1800,,6281977985798,,,,01.239.424.3-325.005,01.239.424.3-325.005,1989-04-26
branch_dlk,DLK,Cabang Krui,15530,DLK,DL,9935,Jl.Kesuma Raya Pasar Tengah Lampung Barat,,,,,,wtc_address.province_id_1800,,6281997099877,,,,01.239.424.3-326.004,01.239.424.3-326.004,1989-04-26
branch_dlj,DLJ,Cabang Way Jepara,15528,DLJ,DL,9668,Jl.Lintas Timur Ds Labuhan Ratu II RT.02 RW.01 Lampung Timur,,,,,,wtc_address.province_id_1800,,6287898923322,,,,01.239.424.3-321.002,01.239.424.3-321.002,1989-04-26
branch_dli,DLI,Cabang Tanjung Bintang,15539,DLI,DL,11545,Jl.Raya Sribungur Desa Jati Baru Tj.Bintang Lampung Selatan,,,,,,wtc_address.province_id_1800,,6287899241388,,,,01.239.424.3-325.001,01.239.424.3-325.001,1989-04-26
branch_dlg,DLG,Cabang Gading Rejo,15527,DLG,DL,8754,Jl.A.Yani No 55 Rw.04 Kec.Gading Rejo Tanggamus,,,,,,wtc_address.province_id_1800,,6281997337534,,,,01.239.424.3-325.004,01.239.424.3-325.004,1989-04-26
branch_dlb,DLB,Cabang Bakauheni,15513,DLB,DL,8555,Jl.Trans Sumatra Km.10 Desa Way Bakak Lampung Selatan,,,,,,wtc_address.province_id_1800,,6287899802227,,,,01.239.424.3-325.002,01.239.424.3-325.002,1989-04-26
branch_dla,DLA,Cabang Antasari,15509,DLA,DL,7069,Jl.Pangeran Antasari No.54-55 Kali Balok Sukarame,,,,,,wtc_address.province_id_1800,,6281930263002,,,,01.239.424.3-323.001,01.239.424.3-323.001,1989-04-26
branch_dlr,DLR,Cabang Raden Intan,15503,DLR,DL,297,Jl.Raden Intan No. 65 ,,,,,,wtc_address.province_id_1800,,0721-252470,,,,01.239.424.3-322.000,01.239.424.3-322.000,1989-04-26
branch_hho,HHO,Head Office,15500,HHO,HO,TA,Jl.Raden Intan No. 65 ,,,,,,wtc_address.province_id_1800,,0721-252470,,,,01.239.424.3-322.000,01.239.424.3-322.000,1989-04-26
branch_mml,MML,MD Lampung,15501,MML,MD,H2Z,Jl.Raden Intan No. 65 ,,,,,,wtc_address.province_id_1800,,0721-252470,,,,01.239.424.3-322.000,01.239.424.3-322.000,1989-04-26
branch_dbl,DBL,Cabang Belitung,15514,DBL,DL,7469,Jl.Jend.Sudirman No.14 Rt.10 Rw.04 P.lalang Tj.Pandan,,,,,,wtc_address.province_id_1900,,6281929745951,,,,01.239.424.3-305.001,01.239.424.3-305.001,1989-04-26
branch_dbk,DBK,Cabang Kelapa,15519,DBK,DL,9330,Jl. Maras Senang Kelapa Bangka Barat,,,,,,wtc_address.province_id_1900,,6281929038483,,,,01.239.424.3-315.002,01.239.424.3-315.002,1989-04-26
branch_dbb,DBB,Cabang Bangka,15506,DBB,DL,6667,Jl.Jend.Sudirman No.79-80 Pangkal Pinang Bangka,,,,,,wtc_address.province_id_1900,,6287896269348,,,,01.239.424.3-304.001,01.239.424.3-304.001,1989-04-26
branch_dbs,DBS,Cabang Sungai Liat,15558,DBS,DL,TA,Jl. Jend. Sudirman RT.002 Parit Padang Sungailiat,,,,,,wtc_address.province_id_1900,,,,,,01.239.424.3-315.004,01.239.424.3-315.004,1989-04-26
branch_dbt,DBT,Cabang Toboali,15562,DBT,DL,TA,Jl. Jend. Sudirman ( Simpang Kepoh ) Toboali,,,,,,wtc_address.province_id_1900,,6287896269348,,,,01.239.424.3-304.001,01.239.424.3-304.001,1989-04-26
branch_dds,DDS,Cabang Saharjo,15505,DDS,DL,6504,Jl.Dr.Saharjo No.319 Kel.Tebet Selatan ,,,,,,wtc_address.province_id_3100,,6281807381378,,,,01.239.424.3-015.001,01.239.424.3-015.001,1989-04-26
branch_ddc,DDC,Cabang Cimareme,15507,DDC,DL,TA,Jl.Raya Cimareme No.240 Gado Bangkong ,,,,,,wtc_address.province_id_3200,,6281809633478,,,,01.239.424.3-421.001,01.239.424.3-421.001,1989-04-26
branch_ddb,DDB,Cabang Bekasi,15512,DDB,DL,7561,Jl.Baru Perjuangan No.88 A-B Rt.03/Rw.08 Marga Mulya,,,,,,wtc_address.province_id_3200,,628179172997,,,,01.239.424.3-407.001,01.239.424.3-407.001,1989-04-26
branch_dda,DDA,Cabang Caman,15591,DDA,DL,TA,Jl. Caman Raya No.25 RT.008 RW.001 Jatibening Pondokgede,,,,,,wtc_address.province_id_3200,,02186907200/01,87780760800,,,01.239.424.3-432.001,01.239.424.3-432.001,1989-04-26
branch_ddd,DDD,Cabang Depok,15605,DDD,DL,TA,Jl. Raya Bogor Km. 38 Rt/Rw 05/01 Jatijajar Tapos Depok,,,,,,wtc_address.province_id_3200,,,,,,,,
branch_dde,DDE,Cabang Temanggung,15563,DDE,DL,TA,Jl. Ngadirejo KM.1 No.2 RT.001 RW.001 Mandisari Temanggung,,,,,,wtc_address.province_id_3300,,,,,,01.239.424.3-533.001,01.239.424.3-533.001,1989-04-26
branch_ddg,DDG,Cabang Godean,15523,DDG,DL,8458,Jl.Godean KM.10 No. 60 Sidoagung-Godean Sleman,,,,,,wtc_address.province_id_3400,,6287839825669,,,,01.239.424.3-542.001,01.239.424.3-542.001,1989-04-26
branch_ddm,DDM,Cabang Mojosari,15518,DDM,DL,8507,Jl. Gajah Mada RT.01 RW.01 Randu Bango Mojosari,,,,,,wtc_address.province_id_3500,,6287856497417,,,,01.239.424.3-602.001,01.239.424.3-602.001,1989-04-26
branch_ddj,DDJ,Cabang Jombang,15589,DDJ,DL,8507,Dsn Ceweng Jombang,16,4,,,,wtc_address.province_id_3500,,628179172997,,,,01.239.424.3-407.001,01.239.424.3-407.001,1989-04-26
branch_ddt,DDT,Cabang Tabanan,15542,DDT,DL,11840,Jl.Raya Denpasar Gilimanuk Ds.Bajera Selemadeg,,,,,,wtc_address.province_id_5100,,6287860213068,,,,01.239.424.3-908.001,01.239.424.3-908.001,1989-04-26
branch_ddi,DDI,Cabang Bima,15581,DDI,DL,TA,Jl. Gajah Mada No 9B-9C RT.006 RW.003 Monggonao-Mpunda,,,,,,wtc_address.province_id_5200,,6287877259000,,,,01.239.424.3-912.001,01.239.424.3-912.001,1989-04-26
branch_dxk,DXK,Cabang Ketapang,15583,DXK,DL,TA157,Jl.Jend.Ahmad Yani No.133 RT.08 RW.03 Delta Pawan,,,,,,wtc_address.province_id_6100,,,,,,01.239.424.3-703.001,01.239.424.3-703.001,1989-04-26
branch_dxt,DXT,Cabang Tenggarong,15536,DXT,DL,305,Jl.Pesut RT.18 Kel.Timbau Kec.Tenggarong Kab.Kutai Kartanegara,,,,,,wtc_address.province_id_6400,,628195418881,,,,01.239.424.3-728.002,01.239.424.3-728.002,1989-04-26
branch_dxs,DXS,Cabang Samarinda,15535,DXS,DL,11208,Jl.Bung Tomo No.12 RT.02 Sungai Keledang,,,,,,wtc_address.province_id_6400,,6287810858310,,,,01.239.424.3-722.001,01.239.424.3-722.001,1989-04-26
branch_dxg,DXG,Cabang Tanah Grogot,15534,DXG,DL,10255,Jl.Padat Karya No.2 Tanah Grogot ,,,,,,wtc_address.province_id_6400,,6287812299519,,,,01.239.424.3-726.002,01.239.424.3-726.002,1989-04-26
branch_dxb,DXB,Cabang Balikpapan,15533,DXB,DL,10254,Pertokoan Manggar Raya Kav.8-11 Jl. Raya Mulawarna Mangga,,,,,,wtc_address.province_id_6400,,6281934515973,,,,01.239.424.3-721.001,01.239.424.3-721.001,1989-04-26
branch_dxn,DXN,Cabang Nanga Pinoh,15577,DXN,DL,TA141,Jl. Juang Dusun Mekar Sari RT.010 RW.004 Nangapinoh,,,,,,wtc_address.province_id_6400,,,,,,01.239.424.3-706.001,01.239.424.3-706.001,1989-04-26
branch_dwt,DWT,Cabang Tuminting,15559,DWT,DL,TA,Jl. Hasanudin No 108 Kel.Islam Kec.Tuminting,,,,,,wtc_address.province_id_7100,,62431853794,,,,01.239.424.3-821.001,01.239.424.3-821.001,1989-04-26
branch_dwr,DWR,Cabang Pare-Pare,15524,DWR,DL,8560,Jl.Bau Maseppe No.46-48 Kampung Baru Kec. Becukiki,,,,,,wtc_address.province_id_7300,,6281998117214,,,,01.239.424.3-802.002,01.239.424.3-802.002,1989-04-26
branch_dwp,DWP,Cabang Pinrang,15521,DWP,DL,8565,Jl. Sultan Hasanuddin No.36 Pinrang ,,,,,,wtc_address.province_id_7300,,6281998072273,,,,02.239.424.3-802.001,01.239.424.3-802.001,1989-04-26
branch_dwo,DWO,Cabang Palopo,15522,DWO,DL,8567,Jl.Sawerigading No 14-16 Kel.Batu Pasi Kec.Wara Utara,,,,,,wtc_address.province_id_7300,,628170164768,,,,01.239.424.3-803.001,01.239.424.3-803.001,1989-04-26
branch_dwk,DWK,Cabang Kendari,15525,DWK,DL,8566,Jl.Ahmad Yani No.185 RT.042 RW.009 Bende Baruga,,,,,,wtc_address.province_id_7300,,6281935298990,,,,01.239.424.3-811.001,01.239.424.3-811.001,1989-04-26
branch_dws,DWS,Cabang Sengkang,15574,DWS,DL,TA,Jl. Jend. Sudirman No.26 Kel.Lapongkoda Kec.Tempe Kab.Wajo,,,,,,wtc_address.province_id_7300,,,,,,01.239.424.3-808.001,01.239.424.3-808.001,1989-04-26
branch_dwg,DWG,Cabang Pangkep,15575,DWG,DL,TA,Jl. Andi Mappe RT 02/01 Kel.Samalewa Kec.Bungoro,,,,,,wtc_address.province_id_7300,,,,,,01.239.424.3-809.001,01.239.424.3-809.001,1989-04-26
branch_dwm,DWM,Cabang Tomoni,15604,DWM,DL,TA,JL. Trans Sulawesi RT.001/ RW.001 Ds. Beringin Jaya Tomoni,,,,,,wtc_address.province_id_7300,,,,,,,,
branch_dwn,DWN,Cabang Gorontalo,15596,DWN,DL,TA,Jl. Trans Sulawesi Desa Isimu Raya Kec. TIBAWA,,,,,,wtc_address.province_id_7500,,,,,,,,
branch_ddu,DDU,Cabang Sukabumi,15592,DDU,DL,TA,JL. RAYA SUKARAJA KM.5 RT/RW 01/03 ,,,,,,,,,,,,01.239.424.3-405.001,01.239.424.3-405.001,
branch_dlz,DLZ,Cabang Pematang Pasir,15608,DLZ,DL,TA,,,,,,,,,,,,,,,
branch_hhp,HHP,Head Office Property,15609,HHP,HO,TA,Jl.Raden Intan No. 65 ,,,,,,wtc_address.province_id_1800,,0721-252470,,,,01.239.424.3-322.000,01.239.424.3-322.000,1989-04-26
